Clndrs,Volume,Model,origin,Lbs-,Acc+,Mpg+
8,304,70,1,4732,18.5,10
8,360,70,1,4615,14,10
8,307,70,1,4376,15,10
8,318,70,1,4382,13.5,10
8,429,72,1,4633,11,10
8,400,73,1,4997,14,10
8,350,73,1,3664,11,10
8,383,71,1,4955,11.5,10
8,350,72,1,4456,13.5,10
8,429,73,1,4952,11.5,10
8,455,73,1,4951,11,10
8,400,73,1,4906,12.5,10
8,350,73,1,4499,12.5,10
8,400,71,1,4746,12,10
8,400,71,1,5140,12,10
8,350,72,1,4274,12,10
8,350,72,1,4502,13.5,10
8,400,72,1,4422,12.5,10
8,307,72,1,4098,14,10
8,302,72,1,4294,16,10
8,350,73,1,4100,13,10
8,350,73,1,3988,13,10
8,400,73,1,4464,12,10
8,351,73,1,4363,13,10
8,440,73,1,4735,11,10
8,360,73,1,3821,11,10
8,360,73,1,4654,13,10
8,350,74,1,4699,14.5,10
8,302,75,1,3169,12,10
8,318,76,1,3940,13.2,10
8,350,76,1,4055,12,10
8,302,76,1,3870,15,10
8,318,76,1,3755,14,10
8,454,70,1,4354,9,10
8,440,70,1,4312,8.5,10
8,455,70,1,4425,10,10
8,340,70,1,3609,8,10
8,455,70,1,3086,10,10
8,350,71,1,4209,12,10
8,400,71,1,4464,11.5,10
8,351,71,1,4154,13.5,10
8,318,71,1,4096,13,10
8,400,72,1,4385,12,10
8,351,72,1,4129,13,10
8,318,72,1,4077,14,10
8,304,73,1,3672,11.5,10
8,302,73,1,4042,14.5,10
8,318,73,1,4237,14.5,10
8,318,74,1,4457,13.5,10
8,302,74,1,4638,16,10
8,304,74,1,4257,15.5,10
8,351,75,1,4657,13.5,10
8,351,76,1,4215,12.8,10
8,350,70,1,3693,11.5,20
8,429,70,1,4341,10,20
8,390,70,1,3850,8.5,20
8,383,70,1,3563,10,20
8,400,70,1,3761,9.5,20
8,318,72,1,4135,13.5,20
8,304,72,1,3892,12.5,20
8,318,73,1,3777,12.5,20
8,350,73,1,4082,13,20
8,318,73,1,3399,11,20
6,250,74,1,3336,17,20
6,250,75,1,3432,21,20
6,250,75,1,3158,19.5,20
8,350,75,1,4440,14,20
6,258,75,1,3730,19,20
8,302,77,1,4295,14.9,20
8,304,76,1,3962,13.9,20
8,318,77,1,4140,13.7,20
8,350,77,1,4165,11.4,20
8,400,77,1,4325,12.2,20
8,351,79,1,4054,14.3,20
8,304,70,1,3433,12,20
6,225,71,1,3439,15.5,20
6,250,73,1,3278,18,20
8,400,73,1,4278,9.5,20
6,250,74,1,3781,17,20
6,258,74,1,3632,18,20
8,302,74,1,4141,14,20
8,400,75,1,4668,11.5,20
8,318,75,1,4498,14.5,20
6,250,75,1,3897,18.5,20
8,318,76,1,4190,13,20
8,400,77,1,4220,11.1,20
8,351,77,1,4335,14.5,20
6,163,78,2,3410,15.8,20
6,168,76,2,3820,16.7,20
8,350,76,1,4380,12.1,20
8,351,79,1,3955,13.2,20
8,350,79,1,4360,14.9,20
8,302,70,1,3449,10.5,20
6,250,71,1,3329,15.5,20
8,304,72,1,3672,11.5,20
6,231,75,1,3907,21,20
8,260,77,1,4060,19,20
6,163,78,2,3140,13.6,20
8,305,79,1,3840,15.4,20
8,305,76,1,4215,13,20
6,258,76,1,3193,17.8,20
8,305,77,1,3880,12.5,20
6,250,77,1,3520,16.4,20
8,318,78,1,4080,13.7,20
8,302,79,1,3725,13.4,20
6,225,81,1,3465,16.6,20
6,231,78,1,3445,13.4,20
8,307,70,1,3504,12,20
8,318,70,1,3436,11,20
6,199,70,1,2774,15.5,20
6,232,71,1,3288,15.5,20
6,258,71,1,2962,13.5,20
6,250,71,1,3139,14.5,20
4,121,72,2,2933,14.5,20
6,225,73,1,3121,16.5,20
6,232,73,1,2945,16,20
6,250,73,1,3021,16.5,20
6,232,73,1,2789,15,20
3,70,73,3,2124,13.5,20
6,225,74,1,3613,16.5,20
6,250,75,1,3459,16,20
6,225,75,1,3785,19,20
6,171,75,1,2984,14.5,20
6,250,76,1,3574,21,20
6,258,78,1,3410,15.1,20
8,302,78,1,3205,11.2,20
8,318,79,1,3830,15.2,20
6,250,76,1,3645,16.2,20
6,250,77,1,3525,19,20
8,360,79,1,3940,13,20
6,225,78,1,3620,18.7,20
6,232,71,1,2634,13,20
6,250,71,1,3302,15.5,20
6,250,71,1,3282,15,20
3,70,72,3,2330,13.5,20
4,122,73,1,2310,18.5,20
4,121,73,2,2868,15.5,20
6,232,74,1,2901,16,20
6,225,75,1,3264,16,20
6,232,75,1,3211,17,20
4,120,76,2,3270,21.9,20
6,156,76,3,2930,15.5,20
